date,amount,type,account,to_account,category,note,uid
2024-01-03,1250,expense,Сбер,,Продукты,Перекрёсток,d001
2024-01-04,100,expense,Тинькофф,,Транспорт,Метро x2,d002
2024-01-06,680,expense,Налик,,Продукты,Рынок,d003
2024-01-07,380,expense,Налик,,Кафе,Кофе с коллегами,d004
2024-01-10,125000,income,Тинькофф,,Зарплата,Январь 2024,d005
2024-01-12,60000,transfer,Тинькофф,Сбер,,Перевод на расходы,d006
2024-01-13,1480,expense,Сбер,,Продукты,Пятёрочка,d007
2024-01-14,620,expense,Тинькофф,,Кафе,Ресторан,d008
2024-01-15,8700,expense,Сбер,,ЖКХ,Январь — отопление,d009
2024-01-15,800,expense,Тинькофф,,Подписки,МТС,d010
2024-01-16,600,expense,Тинькофф,,Подписки,Интернет домой,d011
2024-01-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d012
2024-01-18,2800,expense,Сбер,,Топливо,АЗС Газпромнефть,d013
2024-01-19,890,expense,Сбер,,Продукты,ВкусВилл,d014
2024-01-20,480,expense,Тинькофф,,Кафе,Бизнес-ланч,d015
2024-01-22,480,expense,Сбер,,Здоровье,Аптека,d016
2024-01-25,1100,expense,Сбер,,Продукты,Пятёрочка,d017
2024-01-27,165,expense,Тинькофф,,Транспорт,Яндекс.Такси,d018
2024-01-28,1200,expense,Сбер,,Здоровье,Стоматолог,d019
2024-01-30,750,expense,Налик,,Продукты,Рынок,d020
2024-02-02,1350,expense,Сбер,,Продукты,Пятёрочка,d021
2024-02-05,165,expense,Тинькофф,,Транспорт,Метро,d022
2024-02-08,780,expense,Налик,,Продукты,Рынок,d023
2024-02-09,350,expense,Налик,,Кафе,Завтрак,d024
2024-02-10,125000,income,Тинькофф,,Зарплата,Февраль 2024,d025
2024-02-12,55000,transfer,Тинькофф,Сбер,,Перевод,d026
2024-02-14,1600,expense,Сбер,,Продукты,Перекрёсток,d027
2024-02-14,1850,expense,Тинькофф,,Кафе,Ресторан 14 февраля,d028
2024-02-15,7900,expense,Сбер,,ЖКХ,Февраль — отопление,d029
2024-02-15,800,expense,Тинькофф,,Подписки,МТС,d030
2024-02-16,600,expense,Тинькофф,,Подписки,Интернет,d031
2024-02-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d032
2024-02-19,2500,expense,Сбер,,Топливо,АЗС,d033
2024-02-20,920,expense,Сбер,,Продукты,ВкусВилл,d034
2024-02-22,480,expense,Тинькофф,,Кафе,Обед,d035
2024-02-23,890,expense,Сбер,,Здоровье,Аптека СБЕР Аптека,d036
2024-02-26,1050,expense,Сбер,,Продукты,Пятёрочка,d037
2024-02-27,3500,expense,Сбер,,Здоровье,Врач — терапевт,d038
2024-03-01,1380,expense,Сбер,,Продукты,Перекрёсток,d039
2024-03-03,420,expense,Налик,,Кафе,Пиццерия,d040
2024-03-05,120,expense,Тинькофф,,Транспорт,Метро,d041
2024-03-08,2200,expense,Тинькофф,,Досуг,Подарки 8 марта,d042
2024-03-10,125000,income,Тинькофф,,Зарплата,Март 2024,d043
2024-03-12,20000,income,Тинькофф,,Фриланс,Лендинг для клиента,d044
2024-03-12,55000,transfer,Тинькофф,Сбер,,Перевод,d045
2024-03-14,1200,expense,Сбер,,Продукты,Пятёрочка,d046
2024-03-15,6200,expense,Сбер,,ЖКХ,Март,d047
2024-03-15,800,expense,Тинькофф,,Подписки,МТС,d048
2024-03-16,600,expense,Тинькофф,,Подписки,Интернет,d049
2024-03-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d050
2024-03-18,3200,expense,Сбер,,Топливо,АЗС — полный бак,d051
2024-03-20,850,expense,Налик,,Продукты,Рынок,d052
2024-03-21,680,expense,Тинькофф,,Кафе,Бизнес-ланч,d053
2024-03-22,9800,expense,Сбер,,Одежда,Весенний гардероб,d054
2024-03-25,1600,expense,Сбер,,Продукты,ВкусВилл,d055
2024-03-28,350,expense,Тинькофф,,Кафе,Кофе,d056
2024-03-30,2400,expense,Сбер,,Досуг,Боулинг с друзьями,d057
2024-04-02,1100,expense,Сбер,,Продукты,Пятёрочка,d058
2024-04-04,580,expense,Тинькофф,,Кафе,Ланч,d059
2024-04-06,200,expense,Тинькофф,,Транспорт,Такси,d060
2024-04-08,780,expense,Налик,,Продукты,Рынок,d061
2024-04-10,125000,income,Тинькофф,,Зарплата,Апрель 2024,d062
2024-04-12,55000,transfer,Тинькофф,Сбер,,Перевод,d063
2024-04-14,1450,expense,Сбер,,Продукты,Перекрёсток,d064
2024-04-15,5500,expense,Сбер,,ЖКХ,Апрель,d065
2024-04-15,800,expense,Тинькофф,,Подписки,МТС,d066
2024-04-16,600,expense,Тинькофф,,Подписки,Интернет,d067
2024-04-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d068
2024-04-18,2600,expense,Сбер,,Топливо,АЗС Лукойл,d069
2024-04-20,920,expense,Сбер,,Продукты,ВкусВилл,d070
2024-04-22,3800,expense,Сбер,,Авто,ТО — замена масла и фильтров,d071
2024-04-24,1350,expense,Сбер,,Досуг,Кино + попкорн,d072
2024-04-26,1200,expense,Сбер,,Продукты,Пятёрочка,d073
2024-04-28,490,expense,Тинькофф,,Кафе,Кофейня,d074
2024-05-01,12000,expense,Тинькофф,,Досуг,Майские праздники — поездка,d075
2024-05-03,1800,expense,Налик,,Продукты,Рынок — шашлык,d076
2024-05-05,640,expense,Налик,,Кафе,Кафе на природе,d077
2024-05-07,350,expense,Тинькофф,,Транспорт,Такси,d078
2024-05-10,125000,income,Тинькофф,,Зарплата,Май 2024,d079
2024-05-10,15000,income,Тинькофф,,Фриланс,Настройка CRM,d080
2024-05-12,55000,transfer,Тинькофф,Сбер,,Перевод,d081
2024-05-14,1250,expense,Сбер,,Продукты,Пятёрочка,d082
2024-05-15,5200,expense,Сбер,,ЖКХ,Май,d083
2024-05-15,800,expense,Тинькофф,,Подписки,МТС,d084
2024-05-16,600,expense,Тинькофф,,Подписки,Интернет,d085
2024-05-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d086
2024-05-18,2400,expense,Сбер,,Топливо,АЗС,d087
2024-05-20,1600,expense,Сбер,,Продукты,Перекрёсток,d088
2024-05-22,850,expense,Тинькофф,,Кафе,Терраса,d089
2024-05-25,1100,expense,Сбер,,Продукты,ВкусВилл,d090
2024-05-27,4500,expense,Сбер,,Здоровье,Стоматолог — пломба,d091
2024-05-29,480,expense,Налик,,Кафе,Мороженое,d092
2024-06-02,1400,expense,Сбер,,Продукты,Пятёрочка,d093
2024-06-04,720,expense,Тинькофф,,Кафе,Кофейня,d094
2024-06-06,180,expense,Тинькофф,,Транспорт,Метро,d095
2024-06-08,980,expense,Налик,,Продукты,Рынок,d096
2024-06-10,125000,income,Тинькофф,,Зарплата,Июнь 2024,d097
2024-06-12,60000,transfer,Тинькофф,Сбер,,Перевод,d098
2024-06-13,1800,expense,Сбер,,Продукты,Перекрёсток,d099
2024-06-15,4800,expense,Сбер,,ЖКХ,Июнь,d100
2024-06-15,800,expense,Тинькофф,,Подписки,МТС,d101
2024-06-16,600,expense,Тинькофф,,Подписки,Интернет,d102
2024-06-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d103
2024-06-18,2200,expense,Сбер,,Топливо,АЗС,d104
2024-06-20,1100,expense,Сбер,,Продукты,ВкусВилл,d105
2024-06-21,6800,expense,Сбер,,Досуг,Концерт — 2 билета,d106
2024-06-23,1200,expense,Тинькофф,,Кафе,Ресторан,d107
2024-06-25,1350,expense,Сбер,,Продукты,Пятёрочка,d108
2024-06-27,15000,expense,Сбер,,Одежда,Летний гардероб,d109
2024-06-29,380,expense,Налик,,Кафе,Бар с друзьями,d110
2024-07-01,35000,expense,Тинькофф,,Досуг,Отпуск — авиабилеты,d111
2024-07-01,18000,expense,Сбер,,Досуг,Отпуск — отель,d112
2024-07-03,4200,expense,Налик,,Кафе,Отпуск — рестораны,d113
2024-07-03,3100,expense,Налик,,Досуг,Экскурсии и развлечения,d114
2024-07-10,135000,income,Тинькофф,,Зарплата,Июль 2024 — повышение,d115
2024-07-12,60000,transfer,Тинькофф,Сбер,,Перевод,d116
2024-07-14,1200,expense,Сбер,,Продукты,Пятёрочка,d117
2024-07-15,4500,expense,Сбер,,ЖКХ,Июль,d118
2024-07-15,800,expense,Тинькофф,,Подписки,МТС,d119
2024-07-16,600,expense,Тинькофф,,Подписки,Интернет,d120
2024-07-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d121
2024-07-18,2100,expense,Сбер,,Топливо,АЗС,d122
2024-07-20,1600,expense,Сбер,,Продукты,Перекрёсток,d123
2024-07-22,850,expense,Тинькофф,,Кафе,Летняя терраса,d124
2024-07-25,920,expense,Сбер,,Продукты,ВкусВилл,d125
2024-07-27,1800,expense,Тинькофф,,Кафе,Ужин,d126
2024-07-29,1400,expense,Сбер,,Продукты,Пятёрочка,d127
2024-08-02,1300,expense,Сбер,,Продукты,Перекрёсток,d128
2024-08-04,560,expense,Тинькофф,,Кафе,Кофейня,d129
2024-08-06,850,expense,Налик,,Продукты,Рынок,d130
2024-08-08,30000,income,Тинькофф,,Фриланс,Мобильное приложение,d131
2024-08-10,135000,income,Тинькофф,,Зарплата,Август 2024,d132
2024-08-12,65000,transfer,Тинькофф,Сбер,,Перевод,d133
2024-08-14,1500,expense,Сбер,,Продукты,Пятёрочка,d134
2024-08-15,4700,expense,Сбер,,ЖКХ,Август,d135
2024-08-15,800,expense,Тинькофф,,Подписки,МТС,d136
2024-08-16,600,expense,Тинькофф,,Подписки,Интернет,d137
2024-08-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d138
2024-08-19,2300,expense,Сбер,,Топливо,АЗС,d139
2024-08-21,12500,expense,Сбер,,Одежда,Осенний гардероб,d140
2024-08-22,1100,expense,Сбер,,Продукты,ВкусВилл,d141
2024-08-24,3200,expense,Сбер,,Досуг,Аквапарк,d142
2024-08-26,1200,expense,Тинькофф,,Кафе,Ресторан,d143
2024-08-28,1400,expense,Сбер,,Продукты,Пятёрочка,d144
2024-08-30,650,expense,Налик,,Кафе,Мороженое,d145
2024-09-01,1350,expense,Сбер,,Продукты,Пятёрочка,d146
2024-09-02,4800,expense,Тинькофф,,Образование,Онлайн-курс по Python,d147
2024-09-04,480,expense,Тинькофф,,Кафе,Ланч,d148
2024-09-06,760,expense,Налик,,Продукты,Рынок,d149
2024-09-08,200,expense,Тинькофф,,Транспорт,Метро,d150
2024-09-10,135000,income,Тинькофф,,Зарплата,Сентябрь 2024,d151
2024-09-12,60000,transfer,Тинькофф,Сбер,,Перевод,d152
2024-09-13,1600,expense,Сбер,,Продукты,Перекрёсток,d153
2024-09-15,6500,expense,Сбер,,ЖКХ,Сентябрь — отопление,d154
2024-09-15,800,expense,Тинькофф,,Подписки,МТС,d155
2024-09-16,600,expense,Тинькофф,,Подписки,Интернет,d156
2024-09-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d157
2024-09-18,2800,expense,Сбер,,Топливо,АЗС — смена сезона,d158
2024-09-19,5200,expense,Сбер,,Авто,Шиномонтаж — зимняя резина,d159
2024-09-21,1000,expense,Сбер,,Продукты,ВкусВилл,d160
2024-09-23,1400,expense,Тинькофф,,Досуг,Театр — 2 билета,d161
2024-09-25,1250,expense,Сбер,,Продукты,Пятёрочка,d162
2024-09-27,620,expense,Тинькофф,,Кафе,Кофейня,d163
2024-09-29,890,expense,Сбер,,Здоровье,Аптека,d164
2024-10-01,1200,expense,Сбер,,Продукты,Пятёрочка,d165
2024-10-03,540,expense,Тинькофф,,Кафе,Обед,d166
2024-10-05,680,expense,Налик,,Продукты,Рынок,d167
2024-10-07,150,expense,Тинькофф,,Транспорт,Метро,d168
2024-10-10,135000,income,Тинькофф,,Зарплата,Октябрь 2024,d169
2024-10-10,18000,income,Тинькофф,,Фриланс,Консалтинг,d170
2024-10-12,55000,transfer,Тинькофф,Сбер,,Перевод,d171
2024-10-14,1500,expense,Сбер,,Продукты,Перекрёсток,d172
2024-10-15,7200,expense,Сбер,,ЖКХ,Октябрь — отопление,d173
2024-10-15,800,expense,Тинькофф,,Подписки,МТС,d174
2024-10-16,600,expense,Тинькофф,,Подписки,Интернет,d175
2024-10-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d176
2024-10-18,2600,expense,Сбер,,Топливо,АЗС,d177
2024-10-20,1100,expense,Сбер,,Продукты,ВкусВилл,d178
2024-10-22,1800,expense,Тинькофф,,Досуг,Боулинг,d179
2024-10-24,1300,expense,Сбер,,Продукты,Пятёрочка,d180
2024-10-26,480,expense,Тинькофф,,Кафе,Пиццерия,d181
2024-10-28,2100,expense,Сбер,,Здоровье,Стоматолог,d182
2024-11-01,1400,expense,Сбер,,Продукты,Пятёрочка,d183
2024-11-03,390,expense,Налик,,Кафе,Кофе,d184
2024-11-05,820,expense,Налик,,Продукты,Рынок,d185
2024-11-07,180,expense,Тинькофф,,Транспорт,Автобус,d186
2024-11-10,135000,income,Тинькофф,,Зарплата,Ноябрь 2024,d187
2024-11-12,55000,transfer,Тинькофф,Сбер,,Перевод,d188
2024-11-14,1600,expense,Сбер,,Продукты,Перекрёсток,d189
2024-11-15,8100,expense,Сбер,,ЖКХ,Ноябрь — отопление,d190
2024-11-15,800,expense,Тинькофф,,Подписки,МТС,d191
2024-11-16,600,expense,Тинькофф,,Подписки,Интернет,d192
2024-11-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d193
2024-11-18,2700,expense,Сбер,,Топливо,АЗС,d194
2024-11-19,11000,expense,Сбер,,Одежда,Зимняя куртка + аксессуары,d195
2024-11-20,1050,expense,Сбер,,Продукты,ВкусВилл,d196
2024-11-22,3500,expense,Сбер,,Досуг,Каток — 2 билета,d197
2024-11-24,1300,expense,Сбер,,Продукты,Пятёрочка,d198
2024-11-26,750,expense,Тинькофф,,Кафе,Ресторан,d199
2024-11-28,1500,expense,Сбер,,Здоровье,Аптека + витамины,d200
2024-12-02,1500,expense,Сбер,,Продукты,Пятёрочка,d201
2024-12-04,620,expense,Тинькофф,,Кафе,Ланч,d202
2024-12-06,900,expense,Налик,,Продукты,Рынок,d203
2024-12-08,5800,expense,Сбер,,Досуг,Новогодние подарки,d204
2024-12-10,135000,income,Тинькофф,,Зарплата,Декабрь 2024,d205
2024-12-10,50000,income,Тинькофф,,Зарплата,Годовой бонус,d206
2024-12-12,70000,transfer,Тинькофф,Сбер,,Перевод — декабрь,d207
2024-12-14,1800,expense,Сбер,,Продукты,Перекрёсток — праздничный стол,d208
2024-12-15,8500,expense,Сбер,,ЖКХ,Декабрь,d209
2024-12-15,800,expense,Тинькофф,,Подписки,МТС,d210
2024-12-16,600,expense,Тинькофф,,Подписки,Интернет,d211
2024-12-17,399,expense,Тинькофф,,Подписки,Яндекс Плюс,d212
2024-12-18,3000,expense,Сбер,,Топливо,АЗС,d213
2024-12-19,8500,expense,Тинькофф,,Одежда,Новогодний образ,d214
2024-12-20,1600,expense,Сбер,,Продукты,ВкусВилл,d215
2024-12-22,14000,expense,Тинькофф,,Досуг,Новогодний корпоратив,d216
2024-12-24,2200,expense,Сбер,,Продукты,Пятёрочка — праздники,d217
2024-12-26,3200,expense,Тинькофф,,Кафе,Новогоднее застолье,d218
2024-12-28,1200,expense,Сбер,,Здоровье,Аптека,d219
2024-12-30,42000,expense,Тинькофф,,Досуг,Новый год — поездка,d220
2025-01-03,1350,expense,Сбер,,Продукты,Пятёрочка,d221
2025-01-05,450,expense,Налик,,Кафе,Кофе,d222
2025-01-07,800,expense,Налик,,Продукты,Рынок,d223
2025-01-08,200,expense,Тинькофф,,Транспорт,Метро,d224
2025-01-10,135000,income,Тинькофф,,Зарплата,Январь 2025,d225
2025-01-12,60000,transfer,Тинькофф,Сбер,,Перевод,d226
2025-01-14,1600,expense,Сбер,,Продукты,Перекрёсток,d227
2025-01-15,9200,expense,Сбер,,ЖКХ,Январь — отопление,d228
2025-01-15,850,expense,Тинькофф,,Подписки,МТС — новый тариф,d229
2025-01-16,600,expense,Тинькофф,,Подписки,Интернет,d230
2025-01-17,499,expense,Тинькофф,,Подписки,Яндекс Плюс,d231
2025-01-18,3100,expense,Сбер,,Топливо,АЗС,d232
2025-01-19,2800,expense,Сбер,,Авто,ТО — зимнее,d233
2025-01-20,1100,expense,Сбер,,Продукты,ВкусВилл,d234
2025-01-22,680,expense,Тинькофф,,Кафе,Ланч,d235
2025-01-24,1400,expense,Сбер,,Продукты,Пятёрочка,d236
2025-01-26,3200,expense,Сбер,,Здоровье,Стоматолог — чистка,d237
2025-01-28,850,expense,Тинькофф,,Кафе,Ужин с друзьями,d238
2025-01-30,920,expense,Налик,,Продукты,Рынок,d239
2025-02-02,1300,expense,Сбер,,Продукты,Пятёрочка,d240
2025-02-04,560,expense,Тинькофф,,Кафе,Кофейня,d241
2025-02-06,720,expense,Налик,,Продукты,Рынок,d242
2025-02-08,180,expense,Тинькофф,,Транспорт,Метро,d243
2025-02-10,135000,income,Тинькофф,,Зарплата,Февраль 2025,d244
2025-02-10,25000,income,Тинькофф,,Фриланс,Верстка интернет-магазина,d245
2025-02-12,60000,transfer,Тинькофф,Сбер,,Перевод,d246
2025-02-14,2100,expense,Тинькофф,,Кафе,Ужин 14 февраля,d247
2025-02-14,1500,expense,Тинькофф,,Досуг,Подарок,d248
2025-02-15,8600,expense,Сбер,,ЖКХ,Февраль,d249
2025-02-15,850,expense,Тинькофф,,Подписки,МТС,d250
2025-02-16,600,expense,Тинькофф,,Подписки,Интернет,d251
2025-02-17,499,expense,Тинькофф,,Подписки,Яндекс Плюс,d252
2025-02-18,2900,expense,Сбер,,Топливо,АЗС,d253
2025-02-20,1200,expense,Сбер,,Продукты,ВкусВилл,d254
2025-02-22,1500,expense,Сбер,,Продукты,Перекрёсток,d255
2025-02-24,750,expense,Тинькофф,,Кафе,Кафе,d256
2025-02-26,1100,expense,Сбер,,Продукты,Пятёрочка,d257
2025-02-28,1400,expense,Сбер,,Здоровье,Аптека,d258
2025-03-01,1200,expense,Сбер,,Продукты,Пятёрочка,d259
2025-03-03,480,expense,Налик,,Кафе,Завтрак,d260
2025-03-05,860,expense,Налик,,Продукты,Рынок,d261
2025-03-07,350,expense,Тинькофф,,Транспорт,Такси,d262
2025-03-08,3500,expense,Тинькофф,,Досуг,Подарки на 8 марта,d263
2025-03-10,135000,income,Тинькофф,,Зарплата,Март 2025,d264
2025-03-12,55000,transfer,Тинькофф,Сбер,,Перевод,d265
2025-03-13,1600,expense,Сбер,,Продукты,Перекрёсток,d266
2025-03-15,6800,expense,Сбер,,ЖКХ,Март,d267
2025-03-15,850,expense,Тинькофф,,Подписки,МТС,d268
2025-03-16,600,expense,Тинькофф,,Подписки,Интернет,d269
2025-03-17,499,expense,Тинькофф,,Подписки,Яндекс Плюс,d270
2025-03-18,3200,expense,Сбер,,Топливо,АЗС — смена резины,d271
2025-03-19,5800,expense,Сбер,,Авто,Шиномонтаж — летняя резина,d272
2025-03-20,1100,expense,Сбер,,Продукты,ВкусВилл,d273
2025-03-22,11500,expense,Сбер,,Одежда,Весенний гардероб,d274
2025-03-24,620,expense,Тинькофф,,Кафе,Кофейня,d275
2025-03-25,1350,expense,Сбер,,Продукты,Пятёрочка,d276
2025-03-27,2800,expense,Сбер,,Досуг,Театр — спектакль,d277
2025-03-29,900,expense,Сбер,,Здоровье,Аптека,d278
2025-04-01,1400,expense,Сбер,,Продукты,Пятёрочка,d279
2025-04-03,540,expense,Тинькофф,,Кафе,Ланч,d280
2025-04-05,780,expense,Налик,,Продукты,Рынок,d281
2025-04-07,220,expense,Тинькофф,,Транспорт,Метро,d282
2025-04-10,145000,income,Тинькофф,,Зарплата,Апрель 2025 — повышение,d283
2025-04-12,65000,transfer,Тинькофф,Сбер,,Перевод,d284
2025-04-13,1700,expense,Сбер,,Продукты,Перекрёсток,d285
2025-04-15,5800,expense,Сбер,,ЖКХ,Апрель,d286
2025-04-15,850,expense,Тинькофф,,Подписки,МТС,d287
2025-04-16,600,expense,Тинькофф,,Подписки,Интернет,d288
2025-04-17,499,expense,Тинькофф,,Подписки,Яндекс Плюс,d289
2025-04-18,2800,expense,Сбер,,Топливо,АЗС,d290
2025-04-19,40000,income,Тинькофф,,Фриланс,Разработка дашборда,d291
2025-04-20,1300,expense,Сбер,,Продукты,ВкусВилл,d292
2025-04-22,4200,expense,Сбер,,Авто,ТО — плановое,d293
2025-04-24,1500,expense,Сбер,,Продукты,Пятёрочка,d294
2025-04-25,1900,expense,Тинькофф,,Кафе,Ресторан с семьёй,d295
2025-04-27,3600,expense,Тинькофф,,Досуг,Аквариум,d296
2025-04-29,1200,expense,Сбер,,Здоровье,Аптека,d297
2025-05-01,15000,expense,Тинькофф,,Досуг,Майские — загородный тур,d298
2025-05-03,2100,expense,Налик,,Продукты,Шашлык — майские,d299
2025-05-05,890,expense,Налик,,Кафе,Кафе на природе,d300
2025-05-07,300,expense,Тинькофф,,Транспорт,Такси,d301
