date,type,amount,currency,account,to_account,category,comment,uid
2021-06-24,Income,6000.00,RUB,Сбер,,,,6a0aefa6-1222-4f07-9958-68095ad22b69
2022-07-21,Expense,6000.00,RUB,Сбер,,,,36cc2a42-e199-4e42-88f8-ad8de5ef4b1b
2022-07-21,Income,5000.00,RUB,Сбер,,Другое,От бабушки на ТО,d8dca119-a5b1-4900-8d7f-3df0e4093bd6
2022-07-22,Expense,400.00,RUB,Сбер,,Транспорт,На шиномантаж,8aa396bb-766f-4cc5-b72c-257abe5a4422
2022-07-22,Expense,450.00,RUB,Сбер,,Транспорт,Маслянный фильтр,fb8b2ded-dfb4-422b-8435-01f7a23402bd
2022-07-22,Expense,500.00,RUB,Сбер,,Транспорт,Замена масла,552ceea4-469b-4363-85eb-75cd23380719
2022-07-22,Expense,240.00,RUB,Сбер,,Продукты,,2759e6e9-0845-4d3b-b5a0-95917347074e
2022-07-22,Income,240.00,RUB,Сбер,,Другое,,00bbda69-17a7-4631-b4b2-ed3e54101cec
2022-09-01,Income,4670.00,RUB,Сбер,,,,bda538ff-42be-4c33-9525-a9e639b56085
2022-09-01,Income,5778.89,RUB,Тинькофф,,,,4c9f68bf-e28b-4776-879e-a832bdebfea6
2022-09-02,Expense,101.95,RUB,Тинькофф,,Продукты,Обед 02.09.2022,a53b5c50-c08b-441b-86a5-c4d2a1efb3c8
2022-09-02,Expense,99.00,RUB,Сбер,,Досуг,,071db425-e033-408b-8b04-75bf7904e3e1
2022-09-02,Expense,369.00,RUB,Тинькофф,,Кафе,,edfb9d5b-a5db-43f3-b63f-b95fa1ea84b6
2022-09-02,Expense,25.00,RUB,Тинькофф,,Транспорт,,120cb0b4-3771-4455-82ca-23912ee1ff2d
2022-09-04,Expense,430.00,RUB,Тинькофф,,Досуг,,41d26de0-dee1-4d14-8be7-fc878cdeab5e
2022-09-04,Expense,69.00,RUB,Тинькофф,,Продукты,,9d7acc90-195a-4a06-a4da-af1ca420fb5e
2022-09-04,Expense,165.00,RUB,Тинькофф,,Транспорт,,a71d6390-9dc4-4901-8da2-20c598ee0a54
2022-09-06,Income,200.00,RUB,Налик,,,,15fe782c-a816-4b0f-9976-7073423ed9b3
2022-09-06,Expense,200.00,RUB,Тинькофф,,Кафе,,8cf1ca68-52aa-4b46-9db2-bc51e690b372
2022-09-06,Expense,100.00,RUB,Сбер,,Продукты,,e2b92185-9dae-417f-b43e-bd9e4b77b088
2022-09-07,Expense,45.00,RUB,Сбер,,Продукты,,36daca90-7089-4b5d-a83d-8dd4ae86a3ba
2022-09-08,Expense,200.00,RUB,Сбер,,Кафе,,25fd933e-a0de-4dea-8a92-44525e5ebe3b
2022-09-08,Expense,70.00,RUB,Сбер,,Продукты,,237904d3-c7ec-49b9-af67-2ddac753695b
